Name;Console;ID
Kickle-Cubicle;NES;76401
Kid-Icarus;NES;467
Kid-Icarus--Virtual-Console-;NES;76403
Kid-Niki-2;NES;471
Kid-Niki-3;NES;4980
King-Kong-Lives-Megaton-Punch-of-Rage;NES;4982
Kirbys-Adventure;NES;76417
Knight-Rider;NES;76426
Knights-of-the-Zodiac-Legend-of-the-Gold;NES;4984
Knights-of-the-Zodiac-The-Golden-Legend---Final-Chapter;NES;4986
Konami-Hyper-Soccer;NES;76431
Konami-World;NES;4989
Konami-World;NES;483
Krustys-Fun-House;NES;76435
Kung-Fu;NES;76443
Kung-Fu-2;NES;489
Kunio-Kuns-Nekketsu-Soccer-League;NES;492
Kyoryu-Sentai-ZyuRanger;NES;4988
Lee-Trevinos-Fighting-Golf;NES;76471
Legacy-of-the-Wizard--Namco-Museum-Archives-Vol-2-;NES;76472
Legend-of-Prince-Valiant-The;NES;76474
Legend-of-Zelda-The;NES;76478
Legend-of-Zelda-The--Virtual-Console-;NES;76482
Lemmings;NES;76487
Lethal-Weapon;NES;76488
Life-Force-Salamander;NES;76490
Life-Force-Salamander--Virtual-Console-;NES;76489
Lion-King-The;NES;76494
Little-Nemo-The-Dream-Master;NES;76501
Little-Ninja-Brothers;NES;76502
Little-Samson;NES;76505
Lode-Runner--Virtual-Console-;NES;76511
Low-G-Man-The-Low-Gravity-Man;NES;76517
Lunar-Pool;NES;76522
Mach-Rider;NES;76526
Mach-Rider--Virtual-Console-;NES;76527
Magical-Doropie;NES;526
Maniac-Mansion;NES;76582
Maniac-Mansion;NES;76585
Mappy-Land--Namco-Museum-Archives-Vol-2-;NES;76594
Mappy-Land--Virtual-Console-;NES;76595
Marble-Madness;NES;76596
Mario-&-Yoshi;NES;76597
Mario-Bros.;NES;535
Mario-Bros.--GameCube-Edition-;NES;76600
Mario-Bros.--PAL-MA-0-;NES;76598
Mario-Bros.--PAL-MC-0-Classic-Series-;NES;76599
Mario-is-Missing!;NES;76602
Maze-of-Galious;NES;541
McDonaldland;NES;76618
Mega-Man;NES;76620
Mega-Man-2;NES;76627
Mega-Man-2--Virtual-Console-;NES;76624
Mega-Man-3;NES;76628
Mega-Man-3--Virtual-Console-;NES;76632
Mega-Man-4;NES;76637
Mega-Man-4--Virtual-Console-;NES;76635
Mega-Man-5;NES;76638
Mega-Man-5--Virtual-Console-;NES;76640
